State/UT,Population (Lakhs),Annual Average 2023 PM2.5 Concentration (μg/m³),Life_Expectancy_Gains_WHO_PM25_guideline,Life_Expectancy_Gains_National_PM25_standard
Andaman and Nicobar,3.9,14.9,1,0
Andhra Pradesh,545.3,26,2.1,0
Arunachal Pradesh,16.1,14.2,0.9,0
Assam,359,28.4,2.3,0
Bihar,1257.3,60.1,5.4,1.97
Chandigarh,12.3,44.8,3.9,0.47
Chhattisgarh,304,51.5,4.6,1.12
Dadra and Nagar Haveli,4.4,28.7,2.3,0
Daman and Diu,2.9,31.9,2.6,0
Goa,15.8,27.4,2.2,0
Gujarat,704.9,29.5,2.4,0
Haryana,297.7,58.7,5.3,1.83
Himachal Pradesh,77,24.5,1.9,0
Jammu and Kashmir,147.1,21.3,1.6,0
Jharkhand,391.7,42.1,3.6,0.2
Karnataka,695.9,21.4,1.6,0
Kerala,348.4,18.5,1.3,0
Ladakh,3.3,7.8,0.3,0
Lakshadweep,0.5,19.6,1.4,0
Madhya Pradesh,852,36.8,3.1,0
Maharashtra,1281.6,33.9,2.8,0
Manipur,33.2,25.5,2,0
Meghalaya,37.3,28.8,2.3,0
Mizoram,12.9,24.5,1.9,0
NCT of Delhi,188.4,88.4,8.2,4.74
Nagaland,20.3,22.5,1.7,0
Odisha,473.7,36.4,3.1,0
Puducherry,13.5,22.2,1.7,0
Punjab,310.8,49.6,4.4,0.94
Rajasthan,809,38.3,3.3,0
Sikkim,6.5,37.2,3.2,0
Tamil Nadu,823.4,22.5,1.7,0
Telangana,391.5,29.3,2.4,0
Tripura,42.2,47.1,4.1,0.7
Uttar Pradesh,2347.9,56.2,5,1.59
Uttarakhand,118.7,33.2,2.8,0
West Bengal,1029.9,46.9,4.1,0.68